04.09.2022 18:56:46 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 18:03:11 [CarCover] Player Why U Hollering (76561199097939017) covered ExpansionMh6 at <9563.662109, 212.423203, 6531.734863>
06.10.2022 18:09:19 [CarCover] Player Why U Hollering (76561199097939017) uncovered ExpansionMh6 at <9563.662109, 212.423203, 6531.734863>
06.10.2022 18:19:55 [CarCover] Player Why U Hollering (76561199097939017) covered ExpansionMh6 at <9565.705078, 210.110413, 6546.635742>
06.10.2022 19:36:22 [CarCover] Player (USA)Overdose (76561198145442754) uncovered ExpansionMh6 at <9565.705078, 210.110413, 6546.635742>
06.10.2022 19:37:27 [CarCover] Player (USA)Overdose (76561198145442754) covered Expansion_Landrover at <9587.935547, 207.441284, 6566.872559>
06.10.2022 20:00:44 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 00:00:39 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 04:00:37 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 06:24:23 [CarCover] Player RickRuk (76561199012690901) uncovered CivilianSedan at <11984.164063, 196.986389, 7258.450684>
07.10.2022 08:00:39 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 09:17:26 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 09:57:09 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 16:00:43 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 16:04:59 [CarCover] Player Why U Hollering (76561199097939017) uncovered Expansion_Landrover at <9587.935547, 207.441284, 6566.872559>
07.10.2022 18:29:01 [CarCover] Player (USA)Overdose (76561198145442754) covered Expansion_Landrover at <2419.720703, 350.332611, 13929.108398>
07.10.2022 18:33:40 [CarCover] Player (USA)Overdose (76561198145442754) uncovered Expansion_Landrover at <2419.720703, 350.332611, 13929.108398>
07.10.2022 18:36:35 [CarCover] Player (USA)Overdose (76561198145442754) covered Expansion_Landrover at <2419.721191, 350.332153, 13929.107422>
07.10.2022 19:57:05 [CarCover] Player (USA)Overdose (76561198145442754) uncovered Expansion_Landrover at <2419.721191, 350.332153, 13929.107422>
07.10.2022 19:57:57 [CarCover] Player CaptCanuck117 (76561198030247777) covered ExpansionMh6 at <2399.126465, 349.570679, 13904.592773>
07.10.2022 20:00:46 [CarCover] 'CarCover.json' found, loading existing config
07.10.2022 20:03:45 [CarCover] Player (USA)Overdose (76561198145442754) uncovered ExpansionMh6 at <2399.126465, 349.570679, 13904.592773>
07.10.2022 20:13:44 [CarCover] Player (USA)Overdose (76561198145442754) covered ExpansionMh6 at <9581.797852, 218.205826, 6550.524902>
07.10.2022 20:31:03 [CarCover] Player CaptCanuck117 (76561198030247777) covered Expansion_Landrover at <9603.011719, 206.187286, 6588.861328>
07.10.2022 23:03:36 [CarCover] Player Why U Hollering (76561199097939017) uncovered ExpansionMh6 at <9581.797852, 218.205826, 6550.524902>
08.10.2022 00:00:41 [CarCover] 'CarCover.json' found, loading existing config
08.10.2022 04:00:38 [CarCover] 'CarCover.json' found, loading existing config
08.10.2022 08:00:37 [CarCover] 'CarCover.json' found, loading existing config
08.10.2022 12:00:43 [CarCover] 'CarCover.json' found, loading existing config
08.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
08.10.2022 20:00:42 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 04:00:37 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 08:00:37 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 12:00:43 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 12:57:51 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 13:35:54 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 14:06:14 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 14:55:55 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 16:01:36 [CarCover] 'CarCover.json' found, loading existing config
09.10.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 00:00:31 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 04:00:32 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 08:00:32 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 12:00:31 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 16:00:37 [CarCover] 'CarCover.json' found, loading existing config
10.10.2022 20:00:40 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 00:00:37 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 04:00:32 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 08:00:39 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 10:33:59 [CarCover] Player xxsickboyx (76561198080920094) covered ExpansionUAZ at <9277.544922, 240.021774, 14613.193359>
11.10.2022 10:34:13 [CarCover] Player xxsickboyx (76561198080920094) uncovered ExpansionUAZ at <9277.544922, 240.021774, 14613.193359>
11.10.2022 10:34:53 [CarCover] Player xxsickboyx (76561198080920094) covered ExpansionUAZ at <9277.544922, 240.021896, 14613.192383>
11.10.2022 12:06:52 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 16:00:37 [CarCover] 'CarCover.json' found, loading existing config
11.10.2022 16:41:56 [CarCover] Player xsickgirlx (76561198958765033) uncovered ExpansionUAZ at <9277.544922, 240.021896, 14613.192383>
11.10.2022 16:46:11 [CarCover] Player xsickgirlx (76561198958765033) covered ExpansionUAZ at <9277.544922, 240.021866, 14613.192383>
11.10.2022 20:00:44 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 00:00:44 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 07:32:42 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 08:00:37 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 16:00:37 [CarCover] 'CarCover.json' found, loading existing config
12.10.2022 20:00:37 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 04:00:45 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 08:00:37 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 12:00:44 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 16:00:39 [CarCover] 'CarCover.json' found, loading existing config
13.10.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 00:00:45 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 04:00:49 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 08:00:38 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
14.10.2022 20:00:39 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 00:00:43 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 04:00:42 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 08:00:39 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 12:00:37 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 16:00:39 [CarCover] 'CarCover.json' found, loading existing config
15.10.2022 17:17:26 [CarCover] Player xsickgirlx (76561198958765033) uncovered ExpansionUAZ at <9277.544922, 240.021866, 14613.192383>
15.10.2022 17:20:02 [CarCover] Player xsickgirlx (76561198958765033) covered ExpansionUAZ at <9277.544922, 240.021820, 14613.192383>
15.10.2022 19:34:00 [CarCover] Player xsickgirlx (76561198958765033) uncovered ExpansionUAZ at <9277.544922, 240.021820, 14613.192383>
15.10.2022 19:47:21 [CarCover] Player xsickgirlx (76561198958765033) covered ExpansionUAZ at <9277.815430, 240.024124, 14613.742188>
15.10.2022 20:00:45 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 00:00:45 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 04:00:34 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 08:00:31 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 12:00:30 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 16:00:30 [CarCover] 'CarCover.json' found, loading existing config
16.10.2022 20:00:34 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 00:00:34 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 04:00:40 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 08:00:36 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 12:00:37 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 17:43:21 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 18:41:38 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 18:45:57 [CarCover] 'CarCover.json' found, loading existing config
17.10.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 00:00:43 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 04:00:39 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 07:54:57 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 08:07:39 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 08:16:00 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 08:45:04 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 08:50:25 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 10:21:17 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 11:13:02 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 12:00:50 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 13:24:31 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 13:29:39 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 16:00:36 [CarCover] 'CarCover.json' found, loading existing config
18.10.2022 20:00:33 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 00:00:32 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 04:00:32 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 08:00:36 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 08:50:22 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 13:19:06 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 13:21:33 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 16:00:33 [CarCover] 'CarCover.json' found, loading existing config
19.10.2022 20:00:34 [CarCover] 'CarCover.json' found, loading existing config
20.10.2022 00:00:33 [CarCover] 'CarCover.json' found, loading existing config
20.10.2022 04:00:33 [CarCover] 'CarCover.json' found, loading existing config
